id1,group,id3
KU595506.1_prot_AQM32672.1_1,Marine_V,Marine_V
KU595505.1_prot_AQM32671.1_1,Marine_V,Marine_V
KU595504.1_prot_AQM32670.1_1,Marine_V,Marine_V
KU595503.1_prot_AQM32669.1_1,Marine_V,Marine_V
KU595502.1_prot_AQM32668.1_1,Marine_V,Marine_V
KU595501.1_prot_AQM32667.1_1,Marine_V,Marine_V
KU595500.1_prot_AQM32666.1_1,Marine_V,Marine_V
KU595499.1_prot_AQM32665.1_1,Marine_V,Marine_V
KU595498.1_prot_AQM32664.1_1,Marine_V,Marine_V
KU595497.1_prot_AQM32663.1_1,Marine_V,Marine_V
KU595496.1_prot_AQM32662.1_1,Marine_V,Marine_V
KU595495.1_prot_AQM32661.1_1,Marine_V,Marine_V
KU595494.1_prot_AQM32660.1_1,Marine_V,Marine_V
KU595493.1_prot_AQM32659.1_1,Marine_V,Marine_V
KU595492.1_prot_AQM32658.1_1,Marine_V,Marine_V
KU595491.1_prot_AQM32657.1_1,Marine_V,Marine_V
KU595490.1_prot_AQM32656.1_1,Marine_V,Marine_V
KU595489.1_prot_AQM32655.1_1,Marine_V,Marine_V
KU595488.1_prot_AQM32654.1_1,Marine_V,Marine_V
KU595487.1_prot_AQM32653.1_1,Marine_V,Marine_V
KU595486.1_prot_AQM32652.1_1,Marine_V,Marine_V
KU595485.1_prot_AQM32651.1_1,Marine_V,Marine_V
KU595484.1_prot_AQM32650.1_1,Marine_V,Marine_V
KU595483.1_prot_AQM32649.1_1,Marine_V,Marine_V
KU595482.1_prot_AQM32648.1_1,Marine_V,Marine_V
KU595481.1_prot_AQM32647.1_1,Marine_V,Marine_V
KU595480.1_prot_AQM32646.1_1,Marine_V,Marine_V
KU595479.1_prot_AQM32645.1_1,Marine_V,Marine_V
KU595478.1_prot_AQM32644.1_1,Marine_V,Marine_V
KU595477.1_prot_AQM32643.1_1,Marine_V,Marine_V
KU595476.1_prot_AQM32642.1_1,Marine_V,Marine_V
KU595475.1_prot_AQM32641.1_1,Marine_V,Marine_V
KU595474.1_prot_AQM32640.1_1,Marine_V,Marine_V
KU595473.1_prot_AQM32639.1_1,Marine_V,Marine_V
KU595472.1_prot_AQM32638.1_1,Marine_V,Marine_V
KU595471.1_prot_AQM32637.1_1,Marine_V,Marine_V
KU595470.1_prot_AQM32636.1_1,Marine_V,Marine_V
KU595469.1_prot_AQM32635.1_1,Marine_V,Marine_V
KU595468.1_prot_AQM32634.1_1,Marine_V,Marine_V
KU595467.1_prot_AQM32633.1_1,Marine_V,Marine_V
KU595466.1_prot_AQM32632.1_1,Marine_V,Marine_V
KU595465.1_prot_AQM32631.1_1,Marine_V,Marine_V
KU595464.1_prot_AQM32630.1_1,Marine_V,Marine_V
KU595463.1_prot_AQM32629.1_1,Marine_V,Marine_V
KU595462.1_prot_AQM32628.1_1,Marine_V,Marine_V
KU595461.1_prot_AQM32627.1_1,Marine_V,Marine_V
KU595460.1_prot_AQM32626.1_1,Marine_V,Marine_V
KU595459.1_prot_AQM32625.1_1,Marine_V,Marine_V
KU595458.1_prot_AQM32624.1_1,Marine_V,Marine_V
KU595457.1_prot_AQM32623.1_1,Marine_V,Marine_V
KU595456.1_prot_AQM32622.1_1,Marine_V,Marine_V
KU595455.1_prot_AQM32621.1_1,Marine_V,Marine_V
KU595454.1_prot_AQM32620.1_1,Marine_V,Marine_V
KU595453.1_prot_AQM32619.1_1,Marine_V,Marine_V
KU595452.1_prot_AQM32618.1_1,Marine_V,Marine_V
KU595451.1_prot_AQM32617.1_1,Marine_V,Marine_V
KU595450.1_prot_AQM32616.1_1,Marine_V,Marine_V
KU595449.1_prot_AQM32615.1_1,Marine_V,Marine_V
KU595448.1_prot_AQM32614.1_1,Marine_V,Marine_V
KU595447.1_prot_AQM32613.1_1,Marine_V,Marine_V
KU595446.1_prot_AQM32612.1_1,Marine_V,Marine_V
KU595445.1_prot_AQM32611.1_1,Marine_V,Marine_V
KU595444.1_prot_AQM32610.1_1,Marine_V,Marine_V
KU595443.1_prot_AQM32609.1_1,Marine_V,Marine_V
KU595442.1_prot_AQM32608.1_1,Marine_V,Marine_V
KU595441.1_prot_AQM32607.1_1,Marine_V,Marine_V
KU595440.1_prot_AQM32606.1_1,Marine_V,Marine_V
KU595439.1_prot_AQM32605.1_1,Marine_V,Marine_V
KU595438.1_prot_AQM32604.1_1,Marine_V,Marine_V
KU595437.1_prot_AQM32603.1_1,Marine_V,Marine_V
KU595436.1_prot_AQM32602.1_1,Marine_V,Marine_V
KU595435.1_prot_AQM32601.1_1,Marine_V,Marine_V
KU756932.1_prot_AMQ66423.1_2,Marine_V,Marine_V
KU756931.1_prot_AMQ66421.1_3,Marine_V,Marine_V
YP_007599768.1_GroEL_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Citrobacter_Citrobacterfreundiicomplex,Bacteria,Proteobacteria
NP_001280852.1_GroEL_Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_eudicotyledons_Gunneridae_Pentapetalae_rosids_fabids_Rosales_Rosaceae_Amygdaloideae_Maleae_Malus,Eukaryota,Viridiplantae
WP_100354605.1_GroEL_Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Chryseomicrobium,Bacteria,Firmicutes
XP_003984170.1_GroEL_Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria_Laurasiatheria_Carnivora_Feliformia_Felidae_Felinae_Felis,Eukaryota,Metazoa
XP_018389717.1_GroEL_Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporomycetidae_Pleosporales_Pleosporineae_Pleosporaceae_Alternaria_Alternariaalternatagroup,Eukaryota,Fungi
YP_009863801.1_GroEL_Eukaryota_Haptista_Haptophyta_Pavlovales_Pavlovaceae_Pavlova_unclassifiedPavlova,Eukaryota,Haptista
NP_001040108.1_GroEL_Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Holometabola_Lepidoptera_Glossata_Ditrysia_Bombycoidea_Bombycidae_Bombycinae_Bombyx,Eukaryota,Metazoa
NP_001298236.1_GroEL_Eukaryota_Metazoa_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Euthyneura_Panpulmonata_Hygrophila_Lymnaeoidea_Planorbidae_Biomphalaria,Eukaryota,Metazoa
NP_043141.1_GroEL_Eukaryota_Glaucocystophyceae_Cyanophoraceae_Cyanophora,Eukaryota,Glaucocystophyceae
NP_043619.1_GroEL_Eukaryota_Stramenopiles_Bacillariophyta_Mediophyceae_Biddulphiophycidae_Triceratiales_Triceratiaceae_Trieres,Eukaryota,Stramenopiles
NP_045126.1_GroEL_Eukaryota_Rhodophyta_Bangiophyceae_Cyanidiales_Cyanidiaceae_Cyanidium,Eukaryota,Rhodophyta
NP_050670.1_GroEL_Eukaryota_Cryptophyta_Pyrenomonadales_Geminigeraceae_Guillardia,Eukaryota,Cryptophyta
NP_584786.1_GroEL_Eukaryota_Fungi_Fungiincertaesedis_Microsporidia_Unikaryonidae_Encephalitozoon,Eukaryota,Fungi
WP_001029966.1_GroEL_Bacteria_Spirochaetes_Leptospirales_Leptospiraceae,Bacteria,Spirochaetes
WP_001040265.1_GroEL_Bacteria_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter,Bacteria,Proteobacteria
WP_002513189.1_GroEL_Bacteria_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium,Bacteria,Actinobacteria
WP_002557236.1_GroEL_Bacteria_Spirochaetes_Spirochaetales_Borreliaceae_Borreliella,Bacteria,Spirochaetes
WP_002560909.1_GroEL_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae,Bacteria,Bacteroidetes
WP_002564218.1_GroEL_Bacteria_Actinobacteria_Coriobacteriia_Coriobacteriales_Atopobiaceae,Bacteria,Actinobacteria
WP_002582771.1_GroEL_Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae,Bacteria,Firmicutes
WP_002615259.1_GroEL_Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales_Cystobacterineae_Archangiaceae_Stigmatella,Bacteria,Proteobacteria
WP_002642047.1_GroEL_Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Simonsiella,Bacteria,Proteobacteria
WP_002654458.1_GroEL_Bacteria_Planctomycetes_Planctomycetia_Pirellulales_Pirellulaceae_Blastopirellula,Bacteria,Planctomycetes
WP_002661143.1_GroEL_Bacteria_Bacteroidetes_Saprospiria_Saprospirales_Saprospiraceae_Saprospira,Bacteria,Bacteroidetes
