DNA_viral_contig,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3,C_wet_1,C_wet_2,C_wet_3,A_wet_1,A_wet_2,A_wet_3
VC_331,0,3.179333841,0,0,0,0,0,0,0,0,0,0
VC_332,0,5.50646521,0,4.31385839,0,5.683653872,0,0,0,0,0,0
VC_333,0,4.0618031,0,3.564211185,0,0,0,0,0,0,0,0
VC_334,0,0.36107309,0,0,0,0,0,0,0,0,0,0
VC_335,0,0,0,0,0,0,0,0.539201766,0,0,0,0
VC_336,0,0,0,1.119971294,0,0,0,0,0,0,0,0
VC_337,0,0.648730613,0,0,0,0,0,0,0,0,0,0
VC_338,0,0,0,0,0,0.89577631,0,0,0,0,0,0.725507999
VC_339,0,1.360735058,0,0,0,0,0,0,0,0,0,0
VC_340,0,0,2.4247048,0,0,0,0,0,0,0,1.899799055,0
VC_341,0,0.586306054,0,0.571764177,0.346719701,0.753318581,0.636106611,1.657062397,0,0,0.535507404,0.30506425
VC_342,0,0,2.112981768,0,0,1.16446851,0,0,0,0,0,0
VC_343,0,0,0,0.344371278,0,0.45372077,0,0,0,0,0,0
VC_344,0,0,0,0,0,0,0,0.62413829,0,0,0,0.344710518
VC_345,0,0,2.222452973,0,0,0,0,0,0,0,0,0
VC_346,0,0.64459838,0,0.628610706,0,0,0,1.214541711,0,0,0,0
VC_347,0,0,0,0,0,0,0,0,0.485279831,0,0,0
VC_348,0,0,0,0,2.673957117,0,0,0,0,0,0,0
VC_349,0,0,0,0,0,0,3.964611433,0,0,0,0,0
VC_350,0,0.283926806,0,0,0,0,0,0,0,0,0,0
VC_351,0,0,0,0,0,0.691909739,0.584252626,0,0.928904902,0,0,0
VC_352,0,0,0,0,0,0,0,0,0,0,1.653626869,0
VC_353,0,0,0,0.290982436,0,0,0,0,0,0,0,0
VC_354,0,0,0,0,2.222122038,0,0,0,0,0,0,0
VC_355,0,0,0,1.940836673,0,0,0,0,0,0,0,0
VC_356,0,0,0,2.051031768,0,0,0,0,0,0,0,0
VC_357,0,0,4.063264203,0,0,0,0,0,0,0,0,0
VC_358,0,0,0,0,0,0,0,0,0,0,0,2.625591822
VC_359,0,0,0,0,0,1.96919395,0,2.887735531,0,0,0,0
VC_360,0,0,0,0,2.23474944,0,0,3.560146957,0,0,0,0
VC_361,0,0,0,0,0,0,1.910164317,0,0,0,0,0
VC_362,0,0,0,0,0,2.353219052,0,0,0,0,0,0
VC_363,0,0,0,0,0,0,0,0,2.569250301,0,2.720829961,0
VC_364,0,1.822660389,0,0,0,0,0,0,0,0,0,0
VC_365,0,0,0,1.465811101,0,0,0,0,0,0,0,0
VC_366,0,0,0,3.038904594,0,0,0,0,0,0,0,0
